battle_key,battle_time_jst,jst_date,jst_hour,weekday,battle_time_utc,battle_type,game_mode,result,my_crowns,opp_crowns,my_king_hp,my_princess_hp,opp_king_hp,opp_princess_hp,my_trophies_start,trophy_change,opp_trophies_start,team_size,my_deck,opp_deck,opp_tag,opp_name
20260803T085112.000Z_#GVVPYULQP,2026-08-03 17:51:12,2026-08-03,17,0,20260803T085112.000Z,pathOfLegend,Ranked1v1_NewArena2,win,3,0,7728,4858|4593,0,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Lumberjack|Tombstone|Mega Minion|Ronin|Zap|Miner|Zappies|Balloon,#GVVPYULQP,
20260803T230430.000Z_#J2RPQVLGG,2026-08-04 08:04:30,2026-08-04,8,1,20260803T230430.000Z,pathOfLegend,Ranked1v1_NewArena,win,1,0,7728,4623|3925,5152,1708,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Mortar|Knight|Archers|Electro Spirit|Fire Spirit|The Log|Skeletons|Lightning,#J2RPQVLGG,
20260803T231032.000Z_#R9PLU90LP,2026-08-04 08:10:32,2026-08-04,8,1,20260803T231032.000Z,pathOfLegend,Ranked1v1_NewArena,win,1,0,7153,1705|735,7153,1314,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Elite Barbarians|Berserker|Witch|Rune Giant|Fireball|The Log|Tesla|Dart Goblin,#R9PLU90LP,
20260804T000254.000Z_#20CCRQ08U,2026-08-04 09:02:54,2026-08-04,9,1,20260804T000254.000Z,pathOfLegend,Ranked1v1_NewArena,win,3,0,7728,4858|4089,0,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Royal Ghost|Magic Archer|Elite Barbarians|Zap|Fireball|Electro Spirit|Skeletons|Minions,#20CCRQ08U,
20260804T000905.000Z_#20V20RCR2L,2026-08-04 09:09:05,2026-08-04,9,1,20260804T000905.000Z,pathOfLegend,Ranked1v1_NewArena,loss,0,1,7529,3755,7529,3225|2246,,,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Royal Hogs|Archer Queen|Berserker|The Log|Electro Spirit|Cannon|Earthquake|Royal Delivery,#20V20RCR2L,
20260804T001242.000Z_#R0CCURUC,2026-08-04 09:12:42,2026-08-04,9,1,20260804T001242.000Z,pathOfLegend,Ranked1v1_NewArena,loss,0,1,7320,2921,7590,4406|2133,,,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Elite Barbarians|Wizard|Little Prince|Inferno Dragon|Skeleton Army|Firecracker|Royal Hogs|Rocket,#R0CCURUC,
20260804T001426.000Z_#P0GUC920,2026-08-04 09:14:26,2026-08-04,9,1,20260804T001426.000Z,pathOfLegend,Ranked1v1_NewArena,win,3,0,7728,4858|4338,0,,,30,,1,Battle Ram|Wizard|Royal Ghost|Giant Skeleton|Zappies|Mother Witch|Vines|Barbarian Barrel,Skeleton Army|Valkyrie|Inferno Dragon|Night Witch|Goblin Curse|Golem|Miner|Zap,#P0GUC920,
20260804T010854.000Z_#2YY2PY9Y,2026-08-04 10:08:54,2026-08-04,10,1,20260804T010854.000Z,trail,Chaos_1v1_Draft,loss,0,1,9648,4845,9648,222|6104,,,,1,Rune Giant|Inferno Dragon|Bandit|Giant Snowball|Goblin Barrel|Ice Spirit|Royal Giant|Goblin Hut,Electro Wizard|Vines|Dark Prince|Arrows|X-Bow|Golem|Heal Spirit|Ice Wizard,#2YY2PY9Y,
20260804T230816.000Z_#C8RVQ0CCU,2026-08-05 08:08:16,2026-08-05,8,2,20260804T230816.000Z,trail,Chaos_1v1_Draft,loss,0,1,9648,980,9648,3376|5780,,,,1,Rune Giant|Three Musketeers|Firecracker|Rocket|Hunter|Fireball|Royal Delivery|Inferno Tower,Barbarian Hut|Dart Goblin|Goblin Drill|Ronin|Inferno Dragon|Executioner|Musketeer|Valkyrie,#C8RVQ0CCU,
20260804T231216.000Z_#VLUQJY20J,2026-08-05 08:12:16,2026-08-05,8,2,20260804T231216.000Z,trail,Chaos_1v1_Draft,win,3,0,9648,2774|5591,0,,,1,,1,Furnace|Ronin|Witch|Rocket|Suspicious Bush|Goblin Drill|Zap|Knight,Poison|Graveyard|Golem|Ice Wizard|Executioner|Elite Barbarians|Ram Rider|Flying Machine,#VLUQJY20J,
